,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1.0,0.13351047355366774,0.22296912220406204,0.2510391875892058,0.0,0.6110722462678084,0.5738310639877432,0.32931668334394726,0.4594043976047703,0.3313809711119352,0.2591437796874405,0.0,0.16028582088481394,0.8494908848957234,0.259630377430868,0.0,0.0,0.9846433935474387
1,0.13351047355366774,1.0,0.6433637292887372,0.9158761694619684,0.0,0.0,0.0,0.7275106126329458,0.6753334110735766,0.8577471090889301,0.8359140531107379,0.8470385967987885,0.7569832850135696,0.1087399898024811,0.7757820723926745,0.0,0.0,0.17570019468639642
2,0.22296912220406204,0.6433637292887372,1.0,0.5858491370462049,0.0,0.0,0.0,0.949198295363327,0.8525214014014593,0.6219842551886071,0.46459926288665115,0.5800140187007526,0.9654643752941291,0.11550801407595601,0.9655851631060415,0.0,0.0,0.2971275111503734
3,0.2510391875892058,0.9158761694619684,0.5858491370462049,1.0,0.0,0.0,0.0,0.740750748403815,0.7656733261802842,0.9840182942058534,0.9764596013344577,0.610047293107431,0.6451359521267901,0.2332290846970511,0.7435340356924329,0.0,0.0,0.3069201812854437
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880059664924358,0.9741066742138813,0.0
5,0.6110722462678084,0.0,0.0,0.0,0.0,1.0,0.9981134877780763,0.0,0.1293678438344988,0.0,0.0,0.0,0.0,0.3826153647118546,0.0,0.0,0.0,0.5658699004020896
6,0.5738310639877432,0.0,0.0,0.0,0.0,0.9981134877780763,1.0,0.0,0.11573932266604996,0.0,0.0,0.0,0.0,0.3526575521031769,0.0,0.0,0.0,0.5293255581118084
7,0.32931668334394726,0.7275106126329458,0.949198295363327,0.740750748403815,0.0,0.0,0.0,1.0,0.9671749559163582,0.7917577601438346,0.6299076731541252,0.5570511263089603,0.9134636193676567,0.20236548834804385,0.9882914426110943,0.0,0.0,0.4179688565691162
8,0.4594043976047703,0.6753334110735766,0.8525214014014593,0.7656733261802842,0.0,0.1293678438344988,0.11573932266604996,0.9671749559163582,1.0,0.8399627873991233,0.6817082468113486,0.44558619166195346,0.793131385025618,0.3105968969978986,0.9226395795238069,0.0,0.0,0.5572126462665126
9,0.3313809711119352,0.8577471090889301,0.6219842551886071,0.9840182942058534,0.0,0.0,0.0,0.7917577601438346,0.8399627873991233,1.0,0.9599714671658128,0.538166593574106,0.6531897852251642,0.2995144040874702,0.7758092138665962,0.0,0.0,0.397418278290721
10,0.2591437796874405,0.8359140531107379,0.46459926288665115,0.9764596013344577,0.0,0.0,0.0,0.6299076731541252,0.6817082468113486,0.9599714671658128,1.0,0.5033537556465671,0.5146474010315434,0.2716904717570708,0.6225226826314644,0.0,0.0,0.30750159260320026
11,0.0,0.8470385967987885,0.5800140187007526,0.610047293107431,0.0,0.0,0.0,0.5570511263089603,0.44558619166195346,0.538166593574106,0.5033537556465671,1.0,0.7379700825672388,0.0,0.6432862767922366,0.0,0.0,0.0
12,0.16028582088481394,0.7569832850135696,0.9654643752941291,0.6451359521267901,0.0,0.0,0.0,0.9134636193676567,0.793131385025618,0.6531897852251642,0.5146474010315434,0.7379700825672388,1.0,0.0,0.961304399425399,0.0,0.0,0.21910283625836485
13,0.8494908848957234,0.1087399898024811,0.11550801407595601,0.2332290846970511,0.0,0.3826153647118546,0.3526575521031769,0.20236548834804385,0.3105968969978986,0.2995144040874702,0.2716904717570708,0.0,0.0,1.0,0.1563276192060741,0.0,0.0,0.7875137024980727
14,0.259630377430868,0.7757820723926745,0.9655851631060415,0.7435340356924329,0.0,0.0,0.0,0.9882914426110943,0.9226395795238069,0.7758092138665962,0.6225226826314644,0.6432862767922366,0.961304399425399,0.1563276192060741,1.0,0.0,0.0,0.337789139143602
15,0.0,0.0,0.0,0.0,0.9880059664924358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9910221232202172,0.0
16,0.0,0.0,0.0,0.0,0.9741066742138813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910221232202172,1.0,0.0
17,0.9846433935474387,0.17570019468639642,0.2971275111503734,0.3069201812854437,0.0,0.5658699004020896,0.5293255581118084,0.4179688565691162,0.5572126462665126,0.397418278290721,0.30750159260320026,0.0,0.21910283625836485,0.7875137024980727,0.337789139143602,0.0,0.0,1.0
